"Date","Boston Daily Mean PM2.5 Concentration","Springfield Daily Mean PM2.5 Concentration","Year","Date_Number"
2019-01-06,3,8.9,"2019",1
2019-01-09,3,5.7,"2019",2
2019-01-12,1.8,4.2,"2019",3
2019-01-15,4.1,13.6,"2019",4
2019-01-18,5.4,12.7,"2019",5
2019-01-21,2.7,5.8,"2019",6
2019-01-24,3.4,5.6,"2019",7
2019-01-27,6.2,13.6,"2019",8
2019-02-11,3.3,NA,"2019",9
2019-02-14,0.7,7.6,"2019",10
2019-02-17,5,6.2,"2019",11
2019-02-20,8.4,9.9,"2019",12
2019-02-23,9.6,11.8,"2019",13
2019-03-01,8.5,12.2,"2019",14
2019-03-04,5.7,8.5,"2019",15
2019-03-07,7.5,8.2,"2019",16
2019-03-10,6.5,9,"2019",17
2019-03-13,7,9.1,"2019",18
2019-03-16,7,3.6,"2019",19
2019-03-19,4.4,6.8,"2019",20
2019-03-22,2.5,3.4,"2019",21
2019-03-25,5.4,6.1,"2019",22
2019-03-28,4.7,7.7,"2019",23
2019-03-31,4.3,4.7,"2019",24
2019-04-03,3.8,5.3,"2019",25
2019-04-06,4,7.7,"2019",26
2019-04-09,3.5,8.4,"2019",27
2019-04-12,6,6,"2019",28
2019-04-15,3.3,2.7,"2019",29
2019-04-18,5,4,"2019",30
2019-04-21,2.9,6.4,"2019",31
2019-04-24,3.4,4.8,"2019",32
2019-04-27,2.2,3,"2019",33
2019-04-30,4.4,5.6,"2019",34
2019-05-03,4.9,8.5,"2019",35
2019-05-06,2.7,4.3,"2019",36
2019-05-09,4.7,4.7,"2019",37
2019-05-12,4.9,4.2,"2019",38
2019-05-15,3.7,3.9,"2019",39
2019-05-18,5.1,4.5,"2019",40
2019-05-21,3.1,3.2,"2019",41
2019-05-24,4.1,4.5,"2019",42
2019-05-27,5.7,5.7,"2019",43
2019-05-30,4.2,5.7,"2019",44
2019-06-02,4,9.6,"2019",45
2019-06-05,11.7,12.1,"2019",46
2019-06-08,6.7,NA,"2019",47
2019-06-11,2.2,2.4,"2019",48
2019-06-14,3.5,4.3,"2019",49
2019-06-17,6.8,5.6,"2019",50
2019-06-20,5.4,4.9,"2019",51
2019-06-23,4.5,5.1,"2019",52
2019-06-26,6.2,5.7,"2019",53
2019-06-29,12.9,9.6,"2019",54
2019-07-02,6.5,7.6,"2019",55
2019-07-05,15,11.4,"2019",56
2019-07-08,5.3,6.5,"2019",57
2019-07-11,12.7,11.3,"2019",58
2019-07-14,7.2,9.2,"2019",59
2019-07-17,9.3,10.2,"2019",60
2019-07-20,12.1,13,"2019",61
2019-07-23,5.2,3.2,"2019",62
2019-07-26,8.6,7.7,"2019",63
2019-07-29,13.3,11.9,"2019",64
2019-08-01,5.7,6.5,"2019",65
2019-08-04,8,8,"2019",66
2019-08-07,9.4,8.7,"2019",67
2019-08-10,4,3.4,"2019",68
2019-08-13,11.2,9.7,"2019",69
2019-08-16,7.1,7,"2019",70
2019-08-19,7.9,7.8,"2019",71
2019-08-25,8.2,4.5,"2019",72
2019-08-28,9,4,"2019",73
2019-08-31,5.2,5.7,"2019",74
2019-09-03,7.7,6.7,"2019",75
2019-09-06,6.4,5.6,"2019",76
2019-09-09,5.9,5.4,"2019",77
2019-09-12,6.9,7.6,"2019",78
2019-09-15,5.1,4.8,"2019",79
2019-09-18,4.1,4.8,"2019",80
2019-09-21,7.9,12,"2019",81
2019-09-24,3.9,3.2,"2019",82
2019-09-27,4.6,6.8,"2019",83
2019-09-30,4.5,5.5,"2019",84
2019-10-03,4,4.3,"2019",85
2019-10-06,4,9.2,"2019",86
2019-10-09,8.9,5.3,"2019",87
2019-10-12,2.7,6.9,"2019",88
2019-10-15,5.3,6,"2019",89
2019-10-18,2.7,3,"2019",90
2019-10-21,7,9.8,"2019",91
2019-10-24,7,8,"2019",92
2019-10-27,3.7,5,"2019",93
2019-10-30,7.4,3.5,"2019",94
2019-11-02,4.3,9,"2019",95
2019-11-05,6.2,9.5,"2019",96
2019-11-08,1.2,3.9,"2019",97
2019-11-11,9.7,15.2,"2019",98
2019-11-14,5.6,12.9,"2019",99
2019-11-17,6.7,6.8,"2019",100
2019-11-20,2.6,5.5,"2019",101
2019-11-23,3.2,4.3,"2019",102
2019-11-26,9.3,16.6,"2019",103
2019-11-29,2.6,3.2,"2019",104
2019-12-02,7.2,4.9,"2019",105
2019-12-05,7.2,8.8,"2019",106
2019-12-08,5.5,11.4,"2019",107
2019-12-11,2.7,4.5,"2019",108
2019-12-14,3.7,NA,"2019",109
2019-12-17,4.7,7.5,"2019",110
2019-12-20,3.8,8.9,"2019",111
2019-12-23,9.4,21.7,"2019",112
2019-12-26,8.1,13,"2019",113
2019-12-29,0.2,11.7,"2019",114
2020-01-01,1.7,4.7,"2020",115
2020-01-04,8,15,"2020",116
2020-01-07,4.3,9.5,"2020",117
2020-01-10,4.3,9.5,"2020",118
2020-01-13,5.7,9.8,"2020",119
2020-01-16,4.4,10,"2020",120
2020-01-19,2.7,13.6,"2020",121
2020-01-22,8.9,22,"2020",122
2020-01-25,5.4,9.6,"2020",123
2020-01-28,3,4.8,"2020",124
2020-01-31,6.5,15.7,"2020",125
2020-02-03,7.6,14.4,"2020",126
2020-02-06,3.6,8.1,"2020",127
2020-02-09,4.3,11.5,"2020",128
2020-02-12,3.3,8.1,"2020",129
2020-02-15,3.1,8.3,"2020",130
2020-02-18,4.2,11.2,"2020",131
2020-02-21,3.1,6.4,"2020",132
2020-02-24,6.6,15.5,"2020",133
2020-02-27,2,3.8,"2020",134
2020-03-01,2.8,8,"2020",135
2020-03-04,3.1,6,"2020",136
2020-03-07,2,NA,"2020",137
2020-03-10,10,NA,"2020",138
2020-03-13,5.5,NA,"2020",139
2020-03-16,4,NA,"2020",140
2020-03-19,3.7,NA,"2020",141
2020-03-22,4.7,NA,"2020",142
2020-03-25,5,9.7,"2020",143
2020-03-28,4.6,12,"2020",144
2020-03-31,5.1,7.4,"2020",145
2020-04-03,3.7,5.5,"2020",146
2020-04-06,4.6,6.7,"2020",147
2020-04-09,6,8.4,"2020",148
2020-04-12,7.6,10.2,"2020",149
2020-04-15,8.9,7.4,"2020",150
2020-04-18,6.1,7.9,"2020",151
2020-04-21,6.3,6.2,"2020",152
2020-04-24,8.4,11.5,"2020",153
2020-04-27,3.7,4.3,"2020",154
2020-05-03,5.9,9.5,"2020",155
2020-05-06,4.3,5.4,"2020",156
2020-05-09,2.2,6.2,"2020",157
2020-05-12,3.6,5.3,"2020",158
2020-05-15,8.1,11.7,"2020",159
2020-05-18,7.7,8.7,"2020",160
2020-05-21,4.6,8.3,"2020",161
2020-05-24,5.6,9,"2020",162
2020-05-30,3.5,5.6,"2020",163
2020-06-02,5.3,8.8,"2020",164
2020-06-05,7.9,10.8,"2020",165
2020-06-08,5.3,7.3,"2020",166
2020-06-14,5.7,6.3,"2020",167
2020-06-20,7.9,9,"2020",168
2020-06-23,10.7,9.6,"2020",169
2020-06-26,8.4,7.7,"2020",170
2020-06-29,5.7,5.3,"2020",171
2020-07-02,7.5,8.9,"2020",172
2020-07-05,14.5,16.1,"2020",173
