"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/05/2018","AQS","250230005","1","3.4","ug/m3 LC","19","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/08/2018","AQS","250230005","1","6","ug/m3 LC","33","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/11/2018","AQS","250230005","1","5.3","ug/m3 LC","29","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/14/2018","AQS","250230005","1","2.2","ug/m3 LC","12","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/17/2018","AQS","250230005","1","1.4","ug/m3 LC","8","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/23/2018","AQS","250230005","1","2.5","ug/m3 LC","14","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/26/2018","AQS","250230005","1","2.3","ug/m3 LC","13","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"01/29/2018","AQS","250230005","1","4.2","ug/m3 LC","23","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/01/2018","AQS","250230005","1","6.8","ug/m3 LC","38","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/04/2018","AQS","250230005","1","4.6","ug/m3 LC","26","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/07/2018","AQS","250230005","1","6.4","ug/m3 LC","36","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/10/2018","AQS","250230005","1","5.7","ug/m3 LC","32","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/13/2018","AQS","250230005","1","3.3","ug/m3 LC","18","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/16/2018","AQS","250230005","1","5.6","ug/m3 LC","31","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/19/2018","AQS","250230005","1","9.8","ug/m3 LC","52","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/22/2018","AQS","250230005","1","3.4","ug/m3 LC","19","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/25/2018","AQS","250230005","1","5.3","ug/m3 LC","29","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"02/28/2018","AQS","250230005","1","10.1","ug/m3 LC","53","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/03/2018","AQS","250230005","1","2.8","ug/m3 LC","16","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/06/2018","AQS","250230005","1","1.9","ug/m3 LC","11","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/09/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/12/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/15/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/18/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/21/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/24/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/27/2018","AQS","250230005","1","0","ug/m3 LC","0","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"03/30/2018","AQS","250230005","1","5.6","ug/m3 LC","31","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/02/2018","AQS","250230005","1","3.7","ug/m3 LC","21","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/05/2018","AQS","250230005","1","2.5","ug/m3 LC","14","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/08/2018","AQS","250230005","1","2.7","ug/m3 LC","15","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/11/2018","AQS","250230005","1","8.9","ug/m3 LC","49","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/14/2018","AQS","250230005","1","5.5","ug/m3 LC","31","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/17/2018","AQS","250230005","1","0.8","ug/m3 LC","4","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/23/2018","AQS","250230005","1","4.2","ug/m3 LC","23","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/26/2018","AQS","250230005","1","6.8","ug/m3 LC","38","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"04/29/2018","AQS","250230005","1","6.3","ug/m3 LC","35","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"05/02/2018","AQS","250230005","1","8","ug/m3 LC","44","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"05/05/2018","AQS","250230005","1","4.5","ug/m3 LC","25","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"05/08/2018","AQS","250230005","1","4.8","ug/m3 LC","27","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
"05/11/2018","AQS","250230005","1","3.1","ug/m3 LC","17","Brockton Buckley","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","023","Plymouth","42.0651056363862","-71.0121294262363"
