"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2021","AQS","250036001","3","6.7","ug/m3 LC","37","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/02/2021","AQS","250036001","3","3.6","ug/m3 LC","20","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/03/2021","AQS","250036001","3","5.4","ug/m3 LC","30","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/04/2021","AQS","250036001","3","6","ug/m3 LC","33","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/05/2021","AQS","250036001","3","7.5","ug/m3 LC","42","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/06/2021","AQS","250036001","3","5.6","ug/m3 LC","31","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/07/2021","AQS","250036001","3","3","ug/m3 LC","17","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/08/2021","AQS","250036001","3","5.5","ug/m3 LC","31","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/09/2021","AQS","250036001","3","3.3","ug/m3 LC","18","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/10/2021","AQS","250036001","3","7.8","ug/m3 LC","43","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/11/2021","AQS","250036001","3","9.7","ug/m3 LC","52","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/12/2021","AQS","250036001","3","10.5","ug/m3 LC","54","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/13/2021","AQS","250036001","3","12","ug/m3 LC","56","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/14/2021","AQS","250036001","3","24.3","ug/m3 LC","79","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/15/2021","AQS","250036001","3","18","ug/m3 LC","68","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/16/2021","AQS","250036001","3","1.7","ug/m3 LC","9","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/17/2021","AQS","250036001","3","4.9","ug/m3 LC","27","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/18/2021","AQS","250036001","3","2.6","ug/m3 LC","14","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/19/2021","AQS","250036001","3","3.2","ug/m3 LC","18","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/20/2021","AQS","250036001","3","5","ug/m3 LC","28","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/21/2021","AQS","250036001","3","9.4","ug/m3 LC","52","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/22/2021","AQS","250036001","3","8.8","ug/m3 LC","49","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/23/2021","AQS","250036001","3","2.4","ug/m3 LC","13","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/24/2021","AQS","250036001","3","2.6","ug/m3 LC","14","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/25/2021","AQS","250036001","3","6.7","ug/m3 LC","37","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/26/2021","AQS","250036001","3","7.5","ug/m3 LC","42","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/27/2021","AQS","250036001","3","9.2","ug/m3 LC","51","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/28/2021","AQS","250036001","3","4.4","ug/m3 LC","24","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/29/2021","AQS","250036001","3","4.8","ug/m3 LC","27","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/30/2021","AQS","250036001","3","4.8","ug/m3 LC","27","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"01/31/2021","AQS","250036001","3","8.2","ug/m3 LC","46","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"02/01/2021","AQS","250036001","3","4.2","ug/m3 LC","23","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
"02/02/2021","AQS","250036001","3","2","ug/m3 LC","11","North Adams","1","100.0000","88101","PM2.5 - Local Conditions","170","Met One BAM-1020 Mass Monitor w/VSCC","38340","Pittsfield, MA","25","Massachusetts","003","Berkshire","42.7022230009403","-73.110414"
