"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/04/2021","AQS","250130018","1","10.5","ug/m3 LC","54","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/10/2021","AQS","250130018","1","6.8","ug/m3 LC","38","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/16/2021","AQS","250130018","1","8.7","ug/m3 LC","48","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/28/2021","AQS","250130018","1","4.7","ug/m3 LC","26","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/09/2021","AQS","250130018","1","20.6","ug/m3 LC","72","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/15/2021","AQS","250130018","1","11","ug/m3 LC","55","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/21/2021","AQS","250130018","1","4.8","ug/m3 LC","27","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"02/27/2021","AQS","250130018","1","7.9","ug/m3 LC","44","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/05/2021","AQS","250130018","1","5.4","ug/m3 LC","30","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/23/2021","AQS","250130018","1","6.9","ug/m3 LC","38","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/04/2021","AQS","250130018","1","10.7","ug/m3 LC","54","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/10/2021","AQS","250130018","1","6.5","ug/m3 LC","36","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"05/04/2021","AQS","250130018","1","6.2","ug/m3 LC","34","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"05/10/2021","AQS","250130018","1","7.1","ug/m3 LC","39","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"05/16/2021","AQS","250130018","1","11.4","ug/m3 LC","55","","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
