"Date","Boston Daily Mean PM2.5 Concentration","Springfield Daily Mean PM2.5 Concentration","Worcester Daily Mean PM2.5 Concentration","Brockton Daily Mean PM2.5 Concentration","Clemsford Daily Mean PM2.5 Concentration","North Adams Daily Mean PM2.5 Concentration","Year","Date_Number"
2019-01-06,3,8.9,8.5,7.9,7.2,5.9,"2019",1
2019-01-09,3,5.7,3.7,4.8,5.7,2.8,"2019",2
2019-01-12,1.8,4.2,7.1,4.8,3.9,3.5,"2019",3
2019-01-15,4.1,13.6,7.9,14.3,7.4,13,"2019",4
2019-01-18,5.4,12.7,10.5,9.6,10.8,8,"2019",5
2019-01-21,2.7,5.8,NA,7,6.3,3.1,"2019",6
2019-01-24,3.4,5.6,0.6,5,NA,5.7,"2019",7
2019-01-27,6.2,13.6,13.5,11.1,NA,9.1,"2019",8
2019-02-11,3.3,NA,6.4,NA,3.1,4.2,"2019",9
2019-02-14,0.7,7.6,10.5,7.6,4.8,5.5,"2019",10
2019-02-17,5,6.2,8.8,7.1,5.3,4.9,"2019",11
2019-02-20,8.4,9.9,11.5,9.2,7.6,8.9,"2019",12
2019-02-23,9.6,11.8,13.7,11,8.5,8.9,"2019",13
2019-03-01,8.5,12.2,14.1,NA,9.5,9.7,"2019",14
2019-03-04,5.7,8.5,7.7,6.6,7.4,5.4,"2019",15
2019-03-07,7.5,8.2,10.7,6.9,4.9,4.8,"2019",16
2019-03-10,6.5,9,9.4,10.8,8.2,3.8,"2019",17
2019-03-13,7,9.1,10,9.4,7.6,7.2,"2019",18
2019-03-16,7,3.6,5.7,3.9,3.2,2.9,"2019",19
2019-03-19,4.4,6.8,9.2,7.6,6.7,6.3,"2019",20
2019-03-22,2.5,3.4,3.5,2.8,3.8,1.3,"2019",21
2019-03-25,5.4,6.1,7.9,6.1,5,3.2,"2019",22
2019-03-28,4.7,7.7,9.1,7.9,5.8,7.8,"2019",23
2019-03-31,4.3,4.7,4.9,5,6,8.6,"2019",24
2019-04-03,3.8,5.3,6.7,5,5.7,5.9,"2019",25
